ClientID,Location,NumAccounts,SavingsBalance,CheckingBalance,InvestmentBalance,TransactionFrequency,TransactionVolume,CreditScore,Tenure,ChurnHistory,Complaints,MarketingResponse
3044,New York,5,26048,5373,191084,16,41,653,10,Yes,3,No
3045,Houston,5,23634,10920,23329,19,49,713,6,No,3,No
3046,Dallas,5,49644,14192,148428,17,52,670,3,Yes,0,Yes
3047,New York,5,4792,12282,188852,11,21,764,10,Yes,1,Yes
3048,Chicago,6,27835,18588,47729,13,27,608,9,Yes,2,No
3049,Chicago,3,36389,21935,155818,12,43,811,1,No,0,Yes
3050,Houston,2,17596,4935,72538,18,39,822,10,Yes,1,Yes
3051,Houston,6,34205,26688,75858,15,30,663,5,No,0,Yes
3052,New York,5,12689,14006,121190,19,34,756,2,Yes,1,No
3053,Houston,1,13736,21274,198941,19,28,787,5,Yes,0,No
3054,Chicago,3,39989,15423,140863,11,25,766,10,Yes,2,Yes
3055,Dallas,2,38461,7066,183826,16,52,801,5,Yes,1,No
3056,Dallas,2,37213,17948,22729,9,22,749,9,Yes,2,Yes
3057,Dallas,5,20803,6138,142581,12,52,616,1,No,1,Yes
3058,Chicago,6,37245,8630,45369,11,41,637,2,Yes,3,Yes
3059,New York,1,36766,12550,61456,13,22,793,4,Yes,1,Yes
3060,Dallas,5,14142,16712,106721,18,55,789,1,No,2,Yes
3061,Houston,3,1827,18249,140900,8,21,775,3,No,0,No
3062,Dallas,6,7887,5861,84769,18,48,715,3,No,1,Yes
3063,New York,1,26845,3460,169615,7,43,617,2,Yes,1,No
3064,Houston,5,2226,16369,169513,6,39,799,3,No,0,Yes
3065,Dallas,4,32079,21691,161639,8,51,694,6,Yes,2,No
3066,Chicago,5,40876,15677,193689,16,47,848,5,Yes,1,No
3067,New York,4,21762,20391,76917,14,39,691,2,No,0,Yes
3068,Houston,3,42296,29158,159050,10,34,783,10,No,3,Yes
3069,Houston,5,48816,25093,142978,12,24,701,10,Yes,2,No
3070,Dallas,6,1672,25401,28725,7,42,619,6,Yes,0,No
3071,New York,5,31083,9296,149355,11,26,600,10,Yes,3,No
3072,New York,2,33408,20100,50730,6,32,663,5,Yes,3,No
3073,Dallas,2,47115,4938,109138,8,52,796,5,Yes,2,Yes
3074,Houston,4,7371,13767,159708,15,43,819,4,No,2,No
3075,Dallas,1,29816,16440,69910,12,55,616,1,Yes,2,No
3076,New York,4,49434,4284,88481,15,51,843,4,No,3,Yes
3077,Dallas,3,32953,29215,191457,5,44,741,7,Yes,3,No
3078,New York,6,7101,16464,134206,19,45,798,4,No,3,Yes
3079,New York,4,31589,29881,16835,18,24,835,7,Yes,0,No
3080,Chicago,5,48918,15477,118902,6,60,609,4,No,0,Yes
3081,Dallas,4,26799,23542,167317,19,59,691,4,Yes,1,Yes
3082,Chicago,3,32289,12867,72734,9,26,675,9,Yes,0,Yes
3083,New York,5,45151,9980,185765,13,25,810,3,Yes,1,No
3084,New York,2,28237,8680,183001,6,48,838,7,No,1,No
3085,Houston,3,29277,26786,71888,9,37,748,7,No,2,Yes
3086,Dallas,5,32994,4065,90234,17,34,740,8,No,3,Yes
3087,Houston,3,1879,24162,32363,16,31,831,2,No,3,No
3088,Chicago,2,5081,8333,181207,6,27,847,2,No,0,No
3089,Chicago,6,14427,14023,94743,19,52,642,8,Yes,2,No
3090,Chicago,2,38673,4864,108841,12,54,837,5,Yes,3,No
3091,Chicago,5,2974,15583,109011,12,20,648,9,No,0,No
3092,Dallas,2,13998,15972,54327,5,53,712,1,Yes,2,Yes
3093,Dallas,2,13072,8851,143252,20,51,681,4,Yes,0,Yes
3094,Houston,6,15672,27904,159481,15,53,805,4,No,3,Yes
3095,New York,1,23492,21445,92293,14,30,665,9,Yes,1,No
3096,Houston,5,12335,6185,92816,18,60,780,7,No,0,No
3097,Chicago,2,33546,19082,122120,16,42,756,2,No,0,Yes
3098,Chicago,2,7589,27116,35178,7,52,816,5,Yes,3,No
3099,Houston,5,35952,21537,90918,17,43,714,6,Yes,3,No
3100,Dallas,4,27297,24178,193316,10,51,627,7,No,1,No
3101,Chicago,2,34090,19953,41577,8,51,840,6,No,0,Yes
3102,Houston,1,48441,18452,56070,15,21,641,3,Yes,3,No
3103,Chicago,5,15174,26473,62730,19,36,687,6,Yes,3,Yes
3104,Chicago,4,41908,18334,146915,17,42,668,6,Yes,3,No
3105,Dallas,6,1807,13159,162056,16,45,666,9,Yes,1,No
3106,Chicago,1,10012,1230,84246,15,32,658,2,Yes,3,Yes
3107,New York,2,42322,17495,131353,9,57,719,2,Yes,2,Yes
3108,Houston,2,5426,15208,17361,11,33,667,8,No,2,No
3109,New York,1,43782,27962,51787,5,54,784,8,Yes,0,Yes
3110,New York,4,11323,26373,106784,13,54,732,6,Yes,3,No
3111,Dallas,6,21156,27885,32474,10,24,713,9,Yes,2,No
3112,Dallas,2,25848,16257,194388,11,44,673,8,No,1,Yes
3113,Dallas,5,18572,29986,36307,19,42,666,1,No,1,Yes
3114,Houston,1,7120,3350,31263,13,57,821,4,No,2,Yes
3115,New York,2,26016,2346,166779,7,29,738,3,No,2,No
3116,Houston,1,2554,20498,84548,15,56,668,8,No,2,Yes
3117,Chicago,5,44738,27405,144425,14,41,746,10,No,3,Yes
3118,Dallas,3,1437,21374,56401,5,28,673,10,No,2,No
3119,Houston,2,18899,26747,54207,13,30,754,2,Yes,1,Yes
3120,New York,4,28933,25503,178082,12,41,680,1,No,1,No
3121,New York,3,38285,5483,88642,6,41,800,2,Yes,3,No
3122,Houston,1,46147,1958,45979,5,26,843,8,No,0,Yes
3123,Houston,6,46548,3229,167134,9,39,786,2,Yes,0,No
3124,Chicago,1,41043,20317,191206,17,38,819,4,Yes,2,Yes
3125,New York,3,29654,15307,62004,7,40,668,4,No,2,No
3126,Houston,1,36141,24452,39312,6,41,669,7,No,1,No
3127,Chicago,6,17931,23412,51381,15,44,716,4,Yes,2,No
3128,Houston,4,33159,19390,18247,12,25,641,6,Yes,1,No
3129,Dallas,4,26341,21684,16255,20,52,676,9,Yes,1,No
3130,Chicago,5,6406,25835,153706,20,29,846,9,No,2,No
3131,New York,3,11992,13881,183745,5,57,731,7,Yes,3,No
3132,New York,5,48466,21028,169423,18,25,755,2,Yes,1,Yes
3133,New York,3,29548,21979,98939,12,57,668,10,No,3,Yes
3134,Chicago,6,22162,26926,137621,19,44,833,8,Yes,0,Yes
3135,New York,4,38946,25931,57153,12,23,783,1,No,2,Yes
3136,Houston,1,18758,4413,43412,9,41,819,6,No,0,No
3137,Chicago,2,13283,29082,154543,9,54,721,4,Yes,1,Yes
3138,Chicago,1,47651,13278,93198,11,59,811,2,No,0,Yes
3139,Chicago,3,28985,21222,97358,17,57,673,10,No,0,Yes
3140,New York,5,21301,1665,131325,8,23,740,1,No,2,Yes
3141,Chicago,5,6716,11962,198637,5,52,633,6,No,2,Yes
3142,Chicago,2,20220,15447,155221,13,43,690,4,No,3,No
3143,Chicago,1,4208,21698,69887,10,48,797,9,No,1,Yes
3144,Chicago,3,25592,22267,59048,10,33,703,5,No,3,Yes
3145,Chicago,3,6972,28591,56275,10,49,759,5,No,0,Yes
3146,New York,2,12698,11081,80209,19,59,808,5,Yes,1,Yes
3147,Dallas,4,31324,19891,12767,16,30,644,10,No,1,No
3148,Houston,3,3208,4884,86765,10,21,703,1,No,2,Yes
3149,Dallas,3,28819,24296,184643,6,60,626,6,Yes,0,Yes
3150,Chicago,5,7309,11238,62296,9,52,700,10,No,1,No
3151,Houston,5,1891,11289,167965,16,51,733,2,Yes,2,Yes
3152,Dallas,5,4625,24769,66098,11,48,660,5,No,1,No
3153,New York,3,35412,6505,118255,11,42,836,10,Yes,1,No
3154,New York,2,31787,7361,189952,6,60,847,2,Yes,0,Yes
3155,New York,1,24062,29902,63133,15,49,680,5,Yes,2,No
3156,New York,4,41059,13864,87082,11,60,708,1,No,2,Yes
3157,Houston,4,4838,3711,155063,10,52,793,4,No,2,Yes
3158,Chicago,4,23516,16208,156345,12,27,680,9,Yes,3,No
3159,Dallas,6,49507,28226,173802,12,29,659,9,Yes,1,No
3160,Dallas,1,19621,24485,167925,6,59,780,10,Yes,1,Yes
3161,Dallas,1,49458,4065,112413,13,37,654,3,No,0,Yes
3162,Chicago,6,23781,18598,185504,8,31,781,7,No,1,Yes
3163,Chicago,5,43564,6421,130434,17,24,623,9,No,1,Yes
3164,Dallas,5,25707,11440,146662,18,28,796,5,No,2,Yes
3165,New York,2,10669,5382,146055,5,24,753,4,No,1,No
3166,Chicago,4,48684,1591,67686,20,37,616,5,Yes,2,No
3167,New York,6,26684,1207,77471,17,60,822,10,Yes,2,No
3168,Dallas,5,20121,22656,120856,14,29,823,1,No,0,No
3169,New York,1,1485,4883,141281,5,60,641,5,No,1,No
3170,Chicago,5,45312,24534,81544,14,54,789,7,Yes,0,Yes
3171,Houston,3,22208,1251,60916,8,26,626,8,No,0,No
3172,Chicago,5,8736,17963,169665,10,21,815,8,Yes,0,Yes
3173,New York,5,25133,3849,59115,20,40,612,3,Yes,3,Yes
3174,Houston,1,35901,26802,110970,13,44,842,9,No,2,No
3175,New York,6,6060,16132,56958,6,54,697,3,No,2,No
3176,New York,1,8104,19927,59570,15,35,809,8,No,0,Yes
3177,Dallas,6,31353,21327,199168,12,59,741,6,Yes,3,No
3178,Houston,5,39932,3668,172555,15,31,644,3,No,3,Yes
3179,Chicago,3,18315,2364,117391,8,58,758,2,Yes,3,No
3180,Houston,6,20403,14581,75317,15,41,810,5,No,1,Yes
3181,Chicago,6,24057,9662,99575,12,44,659,10,No,3,No
3182,Houston,2,29813,3158,176829,9,41,666,4,No,1,No
3183,New York,2,25866,8046,171841,13,58,773,4,No,3,No
3184,Dallas,5,12254,5589,20599,17,37,724,4,No,0,No
3185,New York,3,41135,6552,109805,7,52,774,3,No,0,Yes
3186,Houston,1,39907,6298,186210,5,33,845,8,Yes,2,No
3187,New York,1,16769,7503,198201,20,20,793,3,No,1,No
3188,Houston,6,18905,16891,133697,17,54,719,6,No,3,Yes
3189,Dallas,4,14447,23681,93087,20,47,755,6,No,0,Yes
3190,Dallas,1,11683,25619,148318,18,57,752,10,No,1,Yes
3191,Dallas,2,12120,18718,198473,11,31,614,1,No,0,Yes
3192,Chicago,4,27339,28911,139278,18,25,676,4,No,2,No
3193,Houston,4,25009,5234,131697,18,28,691,9,Yes,1,Yes
3194,Houston,3,22001,20914,114531,19,26,674,5,No,2,Yes
3195,New York,5,21663,17969,53056,7,36,730,2,No,0,Yes
3196,Houston,5,26459,9999,91975,11,32,850,3,No,2,No
3197,New York,3,27838,13242,50694,14,37,717,3,No,3,Yes
3198,Houston,5,1523,2470,122323,10,45,811,8,No,0,Yes
3199,Chicago,3,38025,17089,24532,17,51,610,7,Yes,3,No
3200,New York,1,13071,18653,180516,14,50,695,6,No,1,No
3201,New York,4,2548,19740,49728,8,30,815,10,No,2,Yes
3202,Chicago,4,47787,25185,122537,7,32,627,7,Yes,2,Yes
3203,Houston,4,25911,3183,34462,16,49,795,4,No,3,No
3204,Dallas,5,24902,16349,58400,11,28,734,4,Yes,0,No
3205,Chicago,1,12466,24217,198188,11,20,845,7,Yes,3,Yes
3206,Chicago,2,41378,10608,178132,16,30,790,1,No,1,No
3207,Chicago,1,16166,27230,66920,10,54,601,1,No,1,Yes
3208,Dallas,4,9329,1342,185073,13,34,785,10,No,3,No
3209,Houston,2,24553,26522,126515,5,28,720,5,Yes,1,Yes
3210,New York,1,31874,5772,112625,17,24,785,8,Yes,3,Yes
3211,Dallas,5,25444,9084,10556,8,37,707,9,No,2,Yes
3212,New York,1,6872,26343,69208,10,37,638,3,No,2,Yes
3213,New York,5,6784,7602,147132,13,60,624,4,Yes,3,No
3214,Houston,3,36683,13938,37689,19,25,734,8,No,3,No
3215,Dallas,5,14271,16439,152463,13,55,816,3,Yes,2,Yes
3216,New York,6,38078,14623,166343,16,22,766,9,Yes,2,Yes
3217,Dallas,5,29793,17873,43546,10,52,800,3,No,1,Yes
3218,Chicago,5,32046,15723,95478,9,42,846,4,Yes,3,No
3219,Houston,4,15003,15358,99701,10,46,680,3,No,2,Yes
3220,New York,2,28471,11141,89958,7,48,795,7,No,2,Yes
3221,Houston,3,34898,11621,82837,19,32,693,4,No,1,Yes
3222,Chicago,1,8933,3414,35157,9,55,656,1,No,3,No
3223,New York,4,3302,12276,33782,12,30,656,4,No,2,No
3224,Houston,3,1937,23210,176590,10,43,619,5,No,0,No
3225,Dallas,2,49202,25435,112868,5,22,684,6,No,1,Yes
3226,Dallas,1,46889,13737,14006,17,28,779,8,No,1,Yes
3227,Dallas,2,27632,1275,168000,16,46,692,1,Yes,3,No
3228,Dallas,1,17475,21587,33589,16,22,694,9,No,0,No
3229,Chicago,6,5420,26382,127296,10,49,790,7,Yes,1,No
3230,Chicago,2,12094,6655,68999,12,31,674,10,Yes,2,Yes
3231,Dallas,5,39182,16807,51246,15,42,727,5,No,3,No
3232,Dallas,3,39481,8786,52321,11,37,604,7,No,3,No
3233,New York,6,24692,5384,96166,15,45,665,8,No,0,Yes
3234,Dallas,4,10142,12267,155221,13,50,650,7,Yes,3,Yes
3235,Houston,3,17214,13364,20469,12,28,665,8,No,3,Yes
3236,Houston,3,25903,5639,141644,18,54,831,7,No,0,No
3237,Dallas,2,1058,17456,110808,6,54,608,3,Yes,0,Yes
3238,Dallas,5,8924,2585,171715,11,32,714,3,Yes,2,No
3239,Dallas,2,5377,13841,82347,8,49,735,3,No,0,Yes
3240,Houston,6,21223,16733,106476,16,23,750,10,No,1,No
3241,Houston,1,4581,4545,168399,14,53,657,7,Yes,2,No
3242,Dallas,1,6543,13365,166379,6,40,815,9,Yes,3,Yes
3243,Dallas,3,29692,25954,170429,17,35,736,8,No,3,Yes
3244,New York,6,8221,20077,46872,5,56,740,9,Yes,0,Yes
3245,Dallas,5,20326,2112,120442,8,41,748,9,No,2,Yes
3246,Chicago,3,42678,4510,89652,9,23,803,7,No,0,No
3247,New York,1,21697,26128,190518,8,30,606,4,No,3,Yes
3248,Chicago,1,47273,28639,100619,12,33,696,7,No,3,Yes
3249,New York,1,35840,21382,152908,20,54,623,3,Yes,2,No
3250,New York,2,37856,24307,142091,7,58,729,10,No,1,No
3251,Houston,3,31153,14678,79880,16,31,830,7,Yes,3,No
3252,Chicago,4,3173,20906,76358,15,21,720,7,Yes,2,No
3253,Chicago,1,17290,4854,42310,8,29,775,5,Yes,3,No
3254,Houston,6,25894,12971,104150,7,21,765,10,No,2,No
3255,Houston,1,18458,14293,84951,19,59,607,8,No,3,Yes
3256,Houston,4,19954,16225,143618,20,51,670,9,Yes,1,No
3257,Dallas,1,15581,15832,105308,14,40,603,9,Yes,1,Yes
3258,New York,4,36132,14429,150408,13,40,807,10,Yes,1,Yes
3259,Dallas,1,1818,14120,174022,17,41,775,9,Yes,0,No
3260,Dallas,2,5047,7453,189796,9,22,741,3,No,3,No
3261,Chicago,2,45933,7292,116161,19,31,646,2,Yes,3,Yes
3262,Dallas,2,47445,24539,18516,8,49,750,9,Yes,1,Yes
3263,Dallas,3,29583,2633,15276,16,26,619,2,No,2,No
3264,Chicago,3,14948,10031,152617,8,27,636,10,Yes,0,Yes
3265,Houston,4,5651,21930,65872,5,52,627,1,No,2,No
3266,Houston,2,22208,4641,141757,6,52,672,6,Yes,3,No
3267,Dallas,4,16666,26079,92806,14,49,724,1,Yes,0,No
3268,Chicago,3,15592,19020,68085,8,45,825,9,No,1,No
3269,Chicago,3,20326,14989,146061,18,44,615,7,Yes,2,Yes
3270,Dallas,3,36582,6693,176733,5,29,696,8,Yes,0,Yes
3271,Dallas,1,40657,27000,154372,8,51,726,3,No,3,No
3272,Dallas,5,5924,17058,157626,10,40,690,8,Yes,0,No
3273,Houston,1,5094,22822,36128,9,27,764,8,No,2,Yes
3274,Houston,2,15277,26017,88624,6,55,731,6,No,2,Yes
3275,Houston,2,2049,14333,142448,19,51,606,10,No,0,No
3276,New York,1,48000,8908,166531,7,56,844,6,Yes,2,Yes
3277,Houston,1,38095,22537,98230,17,24,832,5,No,3,Yes
3278,Houston,4,22913,16277,114320,15,41,799,8,Yes,1,No
3279,New York,1,43811,16985,103373,9,22,661,9,Yes,1,Yes
3280,New York,5,14697,16771,94768,14,57,667,8,Yes,0,No
3281,New York,1,42923,17646,56988,11,49,798,5,Yes,0,No
3282,Houston,5,44501,21335,161669,12,25,665,2,No,0,No
3283,New York,2,24880,19603,90513,16,49,710,4,Yes,3,No
3284,Dallas,4,13384,10784,134692,20,59,783,8,No,1,Yes
3285,Dallas,3,11705,16852,18566,16,49,850,4,Yes,2,No
3286,Houston,1,35338,8259,128566,12,21,773,10,Yes,2,Yes
3287,Houston,4,1502,28680,82275,8,29,767,10,Yes,3,Yes
3288,Dallas,3,47419,20372,49091,7,40,675,9,No,1,Yes
3289,New York,6,7041,18073,94595,5,55,774,6,Yes,0,Yes
3290,Dallas,1,18038,26169,124693,13,33,745,3,No,1,Yes
3291,New York,3,26830,18011,101845,15,47,711,1,Yes,1,No
3292,Dallas,4,40598,23062,132924,8,32,707,7,No,3,Yes
3293,Houston,4,9605,10408,119442,15,58,674,9,Yes,3,Yes
3294,Houston,1,34656,23709,150066,15,49,721,9,No,3,Yes
3295,Houston,5,19150,3826,178434,12,60,691,10,Yes,1,Yes
3296,New York,4,18090,5564,113771,20,38,779,10,Yes,3,No
3297,Chicago,4,45740,10496,50330,8,37,776,9,No,3,No
3298,Chicago,6,48984,11472,56443,9,24,730,9,No,0,Yes
3299,Dallas,6,36416,4429,71302,17,53,716,3,Yes,3,Yes
3300,Houston,1,8120,22800,136288,18,59,847,1,Yes,2,No
3301,Dallas,4,3993,14431,24149,5,34,681,5,No,0,Yes
3302,Houston,6,12823,2717,85984,7,33,750,4,Yes,1,No
3303,Houston,5,14834,25285,121980,14,45,644,6,No,0,Yes
3304,New York,3,42467,17384,38983,12,29,831,7,Yes,0,Yes
3305,Dallas,4,42356,13832,56159,8,39,762,3,Yes,1,Yes
3306,Chicago,1,42994,14630,138693,9,42,749,5,No,3,Yes
3307,Dallas,6,39194,12696,80799,16,37,657,7,Yes,3,No
3308,Dallas,6,7320,3759,58080,17,51,668,10,Yes,1,No
3309,Chicago,5,13103,23425,122652,20,60,788,7,Yes,1,Yes
3310,Chicago,1,42296,23960,30868,14,31,775,8,No,3,Yes
3311,Houston,6,25057,2966,133892,9,32,723,5,Yes,1,No
3312,Dallas,3,26663,6620,54986,6,36,762,6,Yes,2,Yes
3313,Dallas,4,2420,11044,187768,9,43,700,3,Yes,1,No
3314,Dallas,4,5577,22974,149362,18,34,672,2,Yes,0,No
3315,Houston,6,25414,27889,32592,11,41,632,6,Yes,1,Yes
3316,Dallas,3,10420,11578,160753,13,21,757,10,No,3,No
3317,Chicago,5,47972,4146,51234,15,35,743,7,Yes,1,No
3318,Chicago,6,21528,25369,195657,11,40,660,4,Yes,0,Yes
3319,Houston,6,23921,28753,73767,12,25,693,7,Yes,2,No
3320,Houston,1,7405,24759,48343,18,41,632,5,No,2,No
3321,Dallas,6,43055,14898,83439,19,57,729,3,No,0,No
3322,Chicago,4,49660,24719,65753,9,60,770,4,No,2,Yes
3323,New York,6,46819,22550,100520,10,30,835,6,No,2,Yes
3324,Dallas,4,6554,17917,196823,10,51,740,4,Yes,0,No
3325,New York,5,20941,28921,139443,15,22,729,3,Yes,3,Yes
3326,Houston,2,9170,9708,44981,7,56,697,9,No,2,Yes
3327,Dallas,4,18029,16927,164652,12,25,826,1,Yes,2,No
3328,New York,5,12136,15962,49185,15,52,742,10,Yes,3,Yes
3329,Dallas,3,9144,15900,99791,20,45,714,8,No,3,Yes
3330,Houston,6,38427,14381,119688,10,33,789,9,Yes,2,No
3331,Chicago,1,48622,6988,113277,20,55,635,4,Yes,3,No
3332,Chicago,2,19415,21251,68710,14,21,668,5,Yes,1,No
3333,Dallas,5,39912,23244,94877,14,25,723,7,No,1,No
3334,Houston,5,24004,22166,192745,7,24,818,7,No,0,No
3335,New York,2,5583,19738,117173,17,33,679,7,No,3,Yes
3336,Chicago,3,14226,21281,198514,8,21,726,3,Yes,0,Yes
3337,New York,4,33387,8591,27359,8,36,772,2,No,1,No
3338,Houston,4,3585,12896,191482,5,39,769,8,Yes,1,No
3339,Chicago,1,9136,20834,126808,6,35,660,9,Yes,3,Yes
3340,Dallas,5,38679,17810,122700,8,29,786,6,Yes,1,No
3341,New York,3,6231,27030,132152,5,25,715,9,Yes,1,No
3342,New York,6,36827,16626,165161,11,38,649,7,Yes,3,Yes
3343,Dallas,1,45256,8587,182395,6,32,682,10,No,3,Yes
3344,New York,5,17939,13653,168008,15,52,743,4,No,1,No
3345,New York,6,6716,6660,55195,6,56,621,1,Yes,1,Yes
3346,Dallas,5,26315,13204,51433,17,45,626,5,Yes,2,Yes
3347,Dallas,6,38488,5949,124070,6,34,715,10,No,1,No
3348,Chicago,2,40829,22934,61541,12,38,807,1,No,2,No
3349,Houston,4,6900,3610,158993,12,40,817,7,Yes,3,Yes
3350,New York,6,22079,4766,106530,8,37,690,1,No,1,No
3351,Chicago,6,42168,25512,186390,14,48,756,10,No,0,No
3352,Dallas,5,33788,24905,70401,15,22,786,8,Yes,2,No
3353,Chicago,2,41493,17259,130214,16,59,783,5,No,1,No
3354,New York,2,9807,14077,153044,8,31,692,2,No,2,No
3355,Houston,5,45848,23991,37442,20,54,799,9,No,1,Yes
3356,Houston,3,40884,20871,43708,16,57,812,2,No,2,Yes
3357,Chicago,6,13543,22873,199042,18,45,779,6,No,3,No
3358,Houston,5,48872,13184,174184,10,59,640,1,No,2,Yes
3359,Houston,6,7507,15977,145206,11,21,777,3,Yes,0,No
3360,Chicago,6,26502,11908,110963,20,20,639,4,No,0,Yes
3361,New York,4,41394,15941,41045,14,57,837,10,No,2,Yes
3362,Houston,3,22837,4557,79129,15,39,755,8,No,0,No
3363,Houston,5,32173,5347,102726,12,32,667,3,Yes,1,No
3364,New York,4,6692,26145,82103,8,54,673,6,No,1,No
3365,Chicago,6,43862,14591,29701,11,47,620,7,No,0,No
3366,Chicago,5,47428,28137,149101,17,47,816,8,No,1,No
3367,Houston,5,40693,22301,102559,10,55,838,3,No,0,Yes
3368,Houston,1,48439,7730,152414,18,58,735,6,Yes,2,No
3369,Dallas,3,49792,12530,199394,11,37,732,8,Yes,3,Yes
3370,New York,4,3848,18939,162575,20,36,823,1,No,3,No
3371,Houston,2,5403,10866,63039,20,35,693,6,Yes,3,Yes
3372,New York,4,47788,21883,169582,12,47,790,2,No,0,No
3373,New York,4,36335,3135,64885,19,28,630,4,Yes,1,Yes
3374,Chicago,2,10746,19524,179530,20,28,717,1,Yes,2,Yes
3375,Dallas,6,27438,8973,31586,8,55,722,2,Yes,1,No
3376,Chicago,6,46023,22048,30892,14,33,676,4,Yes,2,Yes
3377,Chicago,2,45767,16410,13299,16,44,736,2,No,1,No
3378,Houston,3,28730,4360,190187,11,44,688,5,No,3,Yes
3379,Dallas,6,18605,1960,85344,8,25,716,6,Yes,1,No
3380,Dallas,6,6131,2834,171593,20,22,622,1,No,0,No
3381,Chicago,3,14343,17514,138865,6,55,629,4,Yes,3,No
3382,Chicago,1,7051,7926,99208,8,45,718,7,Yes,1,No
3383,Houston,5,42514,13250,94232,20,49,715,4,Yes,2,No
3384,Dallas,1,29165,26463,131921,9,26,649,8,Yes,3,No
3385,Houston,1,18046,28320,150037,5,47,616,7,No,2,Yes
3386,Houston,5,14469,10960,25663,20,53,725,3,Yes,2,Yes
3387,Chicago,1,2316,25902,122600,11,44,832,9,Yes,2,Yes
3388,Dallas,6,22672,9003,104660,16,34,850,9,No,3,No
3389,Houston,4,29135,24641,22795,11,56,814,4,Yes,3,No
3390,Chicago,6,17701,16070,167746,13,41,757,10,No,0,Yes
3391,New York,3,35790,16635,136552,5,29,617,9,Yes,2,Yes
3392,Dallas,2,39988,29393,100155,14,38,736,6,Yes,1,Yes
3393,Chicago,6,39452,22709,16449,20,58,663,6,No,1,No
3394,Dallas,4,26942,11169,72203,20,40,796,8,Yes,0,Yes
3395,New York,2,36282,4113,59114,10,38,643,8,No,3,Yes
3396,Chicago,5,37047,25837,148554,15,30,663,3,No,2,Yes
3397,Chicago,6,8237,22571,118390,11,26,821,1,Yes,0,No
3398,Dallas,3,40732,7195,152572,10,51,646,10,No,3,No
3399,Houston,5,47812,23377,112307,12,22,614,6,Yes,0,No
3400,Houston,3,41231,21887,71495,7,54,641,3,Yes,0,Yes
3401,New York,3,13427,11622,83350,6,43,654,4,No,1,No
3402,Dallas,3,40609,14575,144263,15,21,777,3,Yes,1,Yes
3403,Dallas,2,27460,7446,150455,6,42,618,6,Yes,2,No
3404,Chicago,4,42044,9185,86790,11,35,688,9,Yes,3,Yes
3405,Chicago,5,18587,29195,125396,16,55,825,10,Yes,0,No
3406,Dallas,3,41568,20550,100432,6,59,797,2,No,2,Yes
3407,Houston,2,49273,17377,179839,5,39,821,10,No,0,Yes
